,datetime,open,high,low,close,volume,hold
0,2025-06-30 21:13:00,5060.0,5064.0,5060.0,5062.0,1187,196956
1,2025-06-30 21:14:00,5062.0,5064.0,5060.0,5060.0,618,197026
2,2025-06-30 21:15:00,5060.0,5064.0,5060.0,5060.0,1235,197106
3,2025-06-30 21:16:00,5060.0,5062.0,5058.0,5060.0,1084,197184
4,2025-06-30 21:17:00,5058.0,5060.0,5056.0,5058.0,1015,197125
5,2025-06-30 21:18:00,5058.0,5062.0,5058.0,5058.0,716,197423
6,2025-06-30 21:19:00,5058.0,5060.0,5056.0,5058.0,948,197688
7,2025-06-30 21:20:00,5058.0,5060.0,5058.0,5058.0,195,197793
8,2025-06-30 21:21:00,5058.0,5062.0,5058.0,5058.0,1087,197955
9,2025-06-30 21:22:00,5058.0,5060.0,5058.0,5058.0,1041,198438
10,2025-06-30 21:23:00,5058.0,5060.0,5056.0,5060.0,383,198595
11,2025-06-30 21:24:00,5060.0,5062.0,5058.0,5060.0,842,198538
12,2025-06-30 21:25:00,5060.0,5060.0,5058.0,5058.0,727,198387
13,2025-06-30 21:26:00,5058.0,5060.0,5058.0,5060.0,96,198384
14,2025-06-30 21:27:00,5058.0,5060.0,5058.0,5058.0,119,198356
15,2025-06-30 21:28:00,5060.0,5060.0,5054.0,5056.0,1695,198474
16,2025-06-30 21:29:00,5056.0,5056.0,5054.0,5054.0,544,198487
17,2025-06-30 21:30:00,5054.0,5056.0,5052.0,5052.0,1217,198772
18,2025-06-30 21:31:00,5052.0,5054.0,5052.0,5052.0,963,199109
19,2025-06-30 21:32:00,5052.0,5054.0,5050.0,5052.0,1743,199749
20,2025-06-30 21:33:00,5052.0,5056.0,5052.0,5054.0,695,199835
21,2025-06-30 21:34:00,5056.0,5058.0,5054.0,5056.0,758,199875
22,2025-06-30 21:35:00,5056.0,5056.0,5050.0,5050.0,987,200046
23,2025-06-30 21:36:00,5050.0,5052.0,5048.0,5050.0,1057,200254
24,2025-06-30 21:37:00,5048.0,5050.0,5048.0,5050.0,548,200231
25,2025-06-30 21:38:00,5050.0,5050.0,5046.0,5046.0,771,200514
26,2025-06-30 21:39:00,5048.0,5048.0,5044.0,5044.0,735,200616
27,2025-06-30 21:40:00,5044.0,5046.0,5042.0,5046.0,1552,201342
28,2025-06-30 21:41:00,5044.0,5046.0,5042.0,5046.0,887,201578
29,2025-06-30 21:42:00,5046.0,5046.0,5044.0,5044.0,198,201637
30,2025-06-30 21:43:00,5044.0,5050.0,5044.0,5050.0,1523,201751
31,2025-06-30 21:44:00,5050.0,5050.0,5046.0,5048.0,487,201908
32,2025-06-30 21:45:00,5048.0,5048.0,5046.0,5048.0,84,201946
33,2025-06-30 21:46:00,5046.0,5048.0,5046.0,5048.0,655,202007
34,2025-06-30 21:47:00,5048.0,5048.0,5042.0,5044.0,1964,202584
35,2025-06-30 21:48:00,5046.0,5048.0,5044.0,5048.0,381,202542
36,2025-06-30 21:49:00,5046.0,5048.0,5046.0,5048.0,658,202448
37,2025-06-30 21:50:00,5048.0,5048.0,5046.0,5048.0,570,202344
38,2025-06-30 21:51:00,5048.0,5048.0,5046.0,5048.0,89,202320
39,2025-06-30 21:52:00,5048.0,5048.0,5046.0,5048.0,496,202223
40,2025-06-30 21:53:00,5048.0,5052.0,5048.0,5052.0,991,202414
41,2025-06-30 21:54:00,5052.0,5052.0,5050.0,5050.0,584,202393
42,2025-06-30 21:55:00,5052.0,5054.0,5050.0,5054.0,417,202439
43,2025-06-30 21:56:00,5054.0,5054.0,5050.0,5052.0,756,202397
44,2025-06-30 21:57:00,5052.0,5054.0,5050.0,5050.0,539,202571
